course_run_key,reporting_type,announcement
course-v1:edX+BlendedX+1T2015,demo,
course-v1:edX+BlendedX+1T2016,demo,2/1/16
course-v1:edX+BlendedX+3T2015,demo,
course-v1:edX+BlendedX+3T2016,demo,9/23/16
course-v1:edX+edX101+3T2016,demo,9/23/16
course-v1:edX+StudioX+2015,demo,
course-v1:edX+StudioX+3T2016,demo,9/23/16
course-v1:edX+VideoX+1T2016,demo,2/1/16
course-v1:edX+VideoX+2015,demo,
course-v1:edX+VideoX+3T2016,demo,9/23/16
edX/DemoX.1/2014,demo,
edX/DemoX/Demo_Course,demo,
edX/edX101/2014,demo,
AdelaideX/HumBio101x/1T2015,mooc,12/15/14
ANUx/ANU-ASTRO1x/1T2014,mooc,12/13/13
ANUx/ANU-ASTRO2x/2T2014,mooc,12/27/13
ANUx/ANU-ASTRO3x/4T2014,mooc,7/30/14
ANUx/ANU-ASTRO4x/1T2015,mooc,12/10/14
ANUx/ANU-INDIA1x/1T2014,mooc,1/5/14
BerkeleyX/BFV101x/T12015,mooc,6/1/15
BerkeleyX/BJC.1x/3T2015,mooc,9/10/14
BerkeleyX/BJC.2x/3T2015,mooc,9/10/14
BerkeleyX/BJC.3x/1T2016,mooc,9/10/14
BerkeleyX/BJC.4x/1T2016,mooc,9/10/14
BerkeleyX/ColWri_2.1x/3T2014,mooc,6/19/14
BerkeleyX/ColWri.2.2x/1T2015,mooc,9/24/14
BerkeleyX/ColWri2.1x/3T2013,mooc,10/15/13
BerkeleyX/ColWri2.2x/1T2014,mooc,12/4/13
BerkeleyX/ColWri2.3x_2/1T2015,mooc,9/24/14
BerkeleyX/ColWri2.3x/1T2014,mooc,2/7/14
BerkeleyX/ColWri3.1x/3T2014,mooc,10/29/14
BerkeleyX/ColWri3.2x/1T2015,mooc,10/29/14
BerkeleyX/ColWri3.3x/1T2015,mooc,11/10/14
BerkeleyX/ColWri3.4x/1T2015,mooc,11/10/14
BerkeleyX/ColWri3.5x/1T2015,mooc,11/10/14
BerkeleyX/CS_184.1x/3T2014,mooc,7/4/14
BerkeleyX/CS_CS169.1x/1T2014,mooc,12/12/13
BerkeleyX/CS_CS169.2x/1T2014,mooc,12/12/13
BerkeleyX/CS-169.1x/2013_Summer,mooc,6/18/13
BerkeleyX/CS-169.2x/2013_Summer,mooc,6/20/13
BerkeleyX/CS-184.1x/2013_October,mooc,7/30/13
BerkeleyX/CS-191x/2013_August,mooc,7/11/13
BerkeleyX/CS-CS169.1x/3T2014,mooc,9/5/14
BerkeleyX/CS-CS169.2x/1T2015,mooc,9/5/14
BerkeleyX/CS.169.2x/3T2013,mooc,11/1/13
BerkeleyX/CS.CS169.1x/3T2013,mooc,8/26/13
BerkeleyX/CS100.1x/1T2015,mooc,11/25/14
BerkeleyX/CS169.1x/2012_Fall,mooc,7/24/12
